key,name,pos,team,bye,std,half_ppr,ppr
mccaffrey_RB_CAR,Christian McCaffrey,RB,CAR,13,1.0,1.0,1.0
elliott_RB_DAL,Ezekiel Elliott,RB,DAL,10,2.5,3.0,3.3
barkley_RB_NYG,Saquon Barkley,RB,NYG,11,2.5,2.0,2.0
thomas_WR_NO,Michael Thomas,WR,NO,6,5.0,5.0,4.7
kamara_RB_NO,Alvin Kamara,RB,NO,6,5.5,5.0,5.0
henry_RB_TEN,Derrick Henry,RB,TEN,7,5.5,6.0,7.7
cook_RB_MIN,Dalvin Cook,RB,MIN,7,6.0,6.0,5.0
adams_WR_GB,Davante Adams,WR,GB,5,10.0,8.5,12.0
chubb_RB_CLE,Nick Chubb,RB,CLE,9,11.0,12.5,14.0
mixon_RB_CIN,Joe Mixon,RB,CIN,9,12.0,9.5,15.0
hill_WR_KC,Tyreek Hill,WR,KC,10,12.5,10.5,15.7
jacobs_RB_LV,Josh Jacobs,RB,LV,6,13.5,17.5,15.3
jones_WR_ATL,Julio Jones,WR,ATL,10,14.5,13.0,16.0
edwardshelaire_RB_KC,Clyde Edwards-Helaire,RB,KC,10,15.5,19.5,16.3
jones_RB_GB,Aaron Jones,RB,GB,5,16.0,20.0,18.0
hopkins_WR_ARI,DeAndre Hopkins,WR,ARI,8,16.0,14.0,11.3
mahomes_QB_KC,Patrick Mahomes,QB,KC,10,17.5,17.5,21.0
kelce_TE_KC,Travis Kelce,TE,KC,10,18.0,16.5,17.7
godwin_WR_TB,Chris Godwin,WR,TB,13,19.0,19.0,19.0
jackson_QB_BAL,Lamar Jackson,QB,BAL,8,19.5,19.5,20.3
sanders_RB_PHI,Miles Sanders,RB,PHI,9,19.5,21.0,13.3
drake_RB_ARI,Kenyan Drake,RB,ARI,8,20.0,17.0,15.3
kittle_TE_SF,George Kittle,TE,SF,11,20.5,19.5,21.3
golladay_WR_DET,Kenny Golladay,WR,DET,5,23.0,23.0,25.0
evans_WR_TB,Mike Evans,WR,TB,13,23.5,25.0,26.0
ekeler_RB_LAC,Austin Ekeler,RB,LAC,10,23.5,21.5,15.7
cooper_WR_DAL,Amari Cooper,WR,DAL,10,28.0,32.5,33.3
beckham_WR_CLE,Odell Beckham Jr.,WR,CLE,9,28.5,25.5,31.0
gurley_RB_ATL,Todd Gurley,RB,ATL,10,29.0,31.5,31.7
smithschuster_WR_PIT,JuJu Smith-Schuster,WR,PIT,8,32.0,32.0,32.3
fournette_RB_JAX,Leonard Fournette,RB,JAX,7,33.5,37.0,29.0
carson_RB_SEA,Chris Carson,RB,SEA,6,34.0,35.5,34.0
brown_WR_TEN,A.J. Brown,WR,TEN,7,35.0,36.0,40.3
taylor_RB_IND,Jonathan Taylor,RB,IND,7,35.5,41.0,47.0
kupp_WR_LAR,Cooper Kupp,WR,LAR,9,35.5,39.5,38.3
andrews_TE_BAL,Mark Andrews,TE,BAL,8,36.0,36.0,42.0
robinson_WR_CHI,Allen Robinson,WR,CHI,11,38.5,28.0,31.0
thielen_WR_MIN,Adam Thielen,WR,MIN,7,39.5,32.5,34.0
moore_WR_CAR,D.J. Moore,WR,CAR,13,40.5,35.0,30.0
prescott_QB_DAL,Dak Prescott,QB,DAL,10,44.0,49.0,55.0
johnson_RB_HOU,David Johnson,RB,HOU,8,44.0,53.5,41.0
watson_QB_HOU,Deshaun Watson,QB,HOU,8,44.5,57.0,57.7
ridley_WR_ATL,Calvin Ridley,WR,ATL,10,44.5,44.5,43.3
bell_RB_NYJ,Le'Veon Bell,RB,NYJ,11,47.5,46.0,37.0
gordon_RB_DEN,Melvin Gordon,RB,DEN,8,47.5,37.5,42.0
mostert_RB_SF,Raheem Mostert,RB,SF,11,49.0,58.0,61.3
sutton_WR_DEN,Courtland Sutton,WR,DEN,8,49.0,46.5,43.3
ertz_TE_PHI,Zach Ertz,TE,PHI,9,49.0,42.5,38.7
lockett_WR_SEA,Tyler Lockett,WR,SEA,6,49.0,49.0,51.3
ingram_RB_BAL,Mark Ingram II,RB,BAL,8,49.0,48.5,60.7
conner_RB_PIT,James Conner,RB,PIT,8,50.0,43.0,43.0
metcalf_WR_SEA,D.K. Metcalf,WR,SEA,6,50.0,54.0,54.3
allen_WR_LAC,Keenan Allen,WR,LAC,10,51.5,51.0,50.0
wilson_QB_SEA,Russell Wilson,QB,SEA,6,52.5,53.0,58.7
parker_WR_MIA,DeVante Parker,WR,MIA,11,52.5,52.0,57.3
woods_WR_LAR,Robert Woods,WR,LAR,9,54.0,55.5,47.0
diggs_WR_BUF,Stefon Diggs,WR,BUF,11,55.0,60.5,59.3
murray_QB_ARI,Kyler Murray,QB,ARI,8,56.0,54.5,56.3
singletary_RB_BUF,Devin Singletary,RB,BUF,11,57.5,58.0,51.3
chark_WR_JAX,D.J. Chark,WR,JAX,7,58.0,52.5,56.3
montgomery_RB_CHI,David Montgomery,RB,CHI,11,58.0,60.5,61.3
mclaurin_WR_WSH,Terry McLaurin,WR,WSH,8,62.0,55.0,59.7
hilton_WR_IND,T.Y. Hilton,WR,IND,7,63.0,60.5,58.3
akers_RB_LAR,Cam Akers,RB,LAR,9,64.0,71.5,64.7
green_WR_CIN,A.J. Green,WR,CIN,9,64.5,70.5,70.0
waller_TE_LV,Darren Waller,TE,LV,6,65.0,54.0,56.0
swift_RB_DET,D'Andre Swift,RB,DET,5,65.0,63.5,60.0
allen_QB_BUF,Josh Allen,QB,BUF,11,70.0,70.0,89.7
brees_QB_NO,Drew Brees,QB,NO,6,73.0,75.0,85.7
landry_WR_CLE,Jarvis Landry,WR,CLE,9,73.0,78.5,67.0
hunt_RB_CLE,Kareem Hunt,RB,CLE,9,74.0,75.5,61.7
gallup_WR_DAL,Michael Gallup,WR,DAL,10,75.0,76.5,76.7
gronkowski_TE_TB,Rob Gronkowski,TE,TB,13,77.0,81.5,81.0
ryan_QB_ATL,Matt Ryan,QB,ATL,10,77.5,78.5,85.3
brown_WR_BAL,Marquise Brown,WR,BAL,8,77.5,78.5,72.0
henry_TE_LAC,Hunter Henry,TE,LAC,10,78.5,68.5,82.7
engram_TE_NYG,Evan Engram,TE,NYG,11,78.5,79.0,70.7
rodgers_QB_GB,Aaron Rodgers,QB,GB,5,78.5,90.5,97.7
boyd_WR_CIN,Tyler Boyd,WR,CIN,9,78.5,77.5,73.3
edelman_WR_NE,Julian Edelman,WR,NE,6,79.5,84.0,76.0
samuel_WR_SF,Deebo Samuel,WR,SF,11,82.5,81.5,89.0
brady_QB_TB,Tom Brady,QB,TB,13,82.5,87.0,81.0
cook_TE_NO,Jared Cook,TE,NO,6,82.5,80.0,101.0
wentz_QB_PHI,Carson Wentz,QB,PHI,9,84.0,93.0,98.3
jones_RB_TB,Ronald Jones II,RB,TB,13,84.5,95.0,79.7
cooks_WR_HOU,Brandin Cooks,WR,HOU,8,84.5,98.5,87.7
dobbins_RB_BAL,J.K. Dobbins,RB,BAL,8,86.0,99.5,93.0
fuller_WR_HOU,Will Fuller,WR,HOU,8,86.5,88.0,78.3
michel_RB_NE,Sony Michel,RB,NE,6,88.0,92.0,123.7
howard_RB_MIA,Jordan Howard,RB,MIA,11,88.0,96.0,92.3
